ParticipantName,AOIMouse,counts
P01,Control,381
P01,Chart,171
P02,Control,150
P02,Chart,2
P03,Control,42
P04,Control,122
P04,Chart,76
P04,Numbers,2
P05,Control,163
P05,Chart,25
P06,Control,114
P06,Chart,69
P06,Numbers,4
P07,Control,77
P07,Chart,2
P08,Control,31
P08,Chart,21
P09,Control,174
P09,Chart,45
P09,Numbers,1
P10,Control,134
P10,Chart,35
P10,Numbers,1
P11,Control,98
P11,Chart,7
P12,Control,59
P12,Chart,19
P13,Control,58
P14,Control,122
P14,Chart,91
P15,Control,104
P15,Chart,34
P15,Numbers,1
P16,Control,50
P16,Chart,17
P16,Numbers,1
P17,Control,48
P17,Chart,6
P18,Control,90
P18,Chart,9
P19,Control,57
P19,Chart,11
P20,Control,34
P21,Control,315
P21,Chart,65
P21,Numbers,9
P22,Control,68
P22,Chart,3
P22,Numbers,1
P23,Control,77
P23,Chart,4
P24,Control,161
P24,Chart,24
P24,Numbers,2
